key	RU	EN	ES-EU	ES_LA	PT-BR	PT-EU	FR	DE	JA	KO	ZH-S	ZH-T	TR	TH	IT	ID
upgrade_moneybox_description	Увеличивает время работы копилки.	Increases time of the piggy bank.	Aumenta el tiempo de la hucha.	Aumenta el tiempo de la alcancía.	Aumenta o tempo do cofrinho.	Aumenta o tempo do mealheiro.	Augmente la durée de la tirelire.	Erhöht die Zeit für das Guthaben.	貯金箱の時間を延ばします。	돼지 저금통 시간 증가	增加存钱罐的时间。	增加存錢罐的時間。	Kumbaranın süresini artırır.	เพิ่มเวลาของหมูออมสิน	Aumenta il tempo del salvadanaio.	Tambah waktu celengan.
upgrade_magnet_title	Магнит	Magnet	Imán	Imán	Ímã	Íman	Aimant	Magnet	マグネット	자석	磁铁	磁鐵	Mıknatıs	แม่เหล็ก	Magnete	Magnet
upgrade_magnet_description	Сокращает время перезарядки магнита. 	Reduces magnet recharge time.	Reduce el tiempo de recarga del imán.	Reduce el tiempo de recarga del imán.	Reduz o tempo de recarga do ímã.	Reduz o tempo de recarga do íman.	Réduit le délai de chargement de l'aimant.	Verringert die Wiederaufladezeit des Magneten.	マグネット再充電時間を減らします。	사적 충전 시간 감소	减少磁铁充电时间。	減少磁鐵充能時間。	Mıknatıs şarj süresini kısaltır.	ลดเวลาการชาร์จใหม่ของแม่เหล็ก	Riduce il tempo di ricarica del magnete.	Kurangi waktu isi ulang magnet.
upgrade_mergebonus_title	Шкала смешивания	Mixing scale	Báscula para mezclar	Báscula de mezclado	Escala de mistura	Escala de mistura	Échelle de mélange	Mischrate	ミックススケール	혼합 스케일	混合规模	混合天平	Karıştırma ölçeği	ปริมาณการผสม	Bilancia miscelatrice	Timbangan pencampur
upgrade_mergebonus_description	Меньше смешиваний, чтобы получить бонус. 	Less mixes to get bonus.	Reduce el número de mezclas necesarias para obtener una bonificación.	Reduce cantidad de mezclas necesarias para obtener una bonificación.	Menos misturas para obter bônus.	Menos misturas para obter bónus.	Moins de mélanges pour obtenir des bonus.	Mehr Boni für weniger Mischen.	ミックスが少ないとボーナスがもらえます。	보너스 획득을 위해 혼합 줄이기	减少混合以获得奖励。	減少混合以獲得獎勵。	Bonus almak için daha az karışım.	ผสมให้น้อยเพื่อรับโบนัส	Bastano meno mix per ottenere i bonus.	Ayo kita campurkan untuk mendapat bonus.
upgrade_bubblemonster_title	Существо в яйце	Creature in an egg	Criatura en un huevo	Criatura en un huevo	Criatura em um ovo	Criatura num ovo	Créature dans un œuf	Monster in dem Ei	たまごの中の生き物	달걀 속의 피조물	卵中生物	蛋中生物	Bir yumurtada içinde yaratık	สิ่งมีชีวิตในไข่	Creatura nell'uovo	Makhluk di dalam telur
upgrade_bubblemonster_description	Повышает уровень существа в яйце.	Increases the level of the creature in the egg.	Aumenta el nivel de la criatura del huevo.	Aumenta el nivel de la criatura en el huevo.	Aumenta o nível da criatura no ovo	Aumenta o nível da criatura no ovo.	Augmente le niveau de la créature dans l'œuf.	Erhöht das Lever für das Monster im Ei	たまごの中の生き物のレベルを高めます	달걀 속 피조물의 레벨 증가	提高卵中生物的级别。	提升蛋中生物的等級	Yumurtadaki yaratığın seviyesini artırır.	เพิ่มเลเวลของสิ่งมีชีวิตที่อยู่ในไข่	Aumenta il livello della creatura nell'uovo.	Tingkatkan level makhluk di dalam telur.
level_progress	уровень {0}	Level {0}	Nivel {0}	Nivel {0}	Nível {0}	Nível {0}	Niveau {0}	Level {0}	レベル {0}	레벨 {0}	级别 {0}	等級 {0}	Seviye {0}	เลเวล {0}	Livello {0}	Level {0}
booster_income_title	Супер доход	Super income	Superganancias	Superingresos	Super rendimento	Super rendimento	Super revenu	Mega-Ertrag	スーパーインカム	최고 수입	超级收入	超級收入	Süper gelir	สุดยอดรายได้	Incassi super	Pendapatan super
booster_income_desc	Увеличивает доход золота х2 на два часа!	Increases the income of gold x2 for two hours!	Multiplica por dos las ganancias de oro durante dos horas.	Duplica los ingresos de oro durante dos horas.	Aumenta o rendimenot de ouro x2 por duas horas!	Aumenta o rendimenot de ouro x2 por duas horas!	Double le revenu en or pendant deux heures !	Verdoppelt deinen Goldertrag für zwei Stunden!	金のインカムを2時間2倍に増加！	2시간 동안 골드 수입 X2배 증가	增加黄金收入 x2 两个小时！	增加黃金 x2 的收入，持續兩小時！	İki saat boyunca altın gelirini 2 kat artırır!	เพิ่มรายได้จากทองคำเป็นสองเท่าในเวลาสองชั่วโมง!	Raddoppia gli incassi di monete per due ore!	Tingkatkan pendapatan emas x2 selama dua jam!
booster_monster_discount	Существа со скидкой	Discount Creatures	Criaturas rebajadas	Criaturas con descuento	Criaturas com desconto	Desconto Criaturas	Réduction sur les créatures	Monster im Angebot	生き物の割引	피조물 할인	打折生物	優惠生物	İndirimli Yaratıklar	สิ่งมีชีวิตที่มีส่วนลด	Sconto sulle creature	Diskon Makhluk
booster_monster_discount_desc	Скидка 25% на всех существ в магазине.	25% discount on all creatures in the store.	25 % de descuento en todas las criaturas de la tienda.	25% de descuento en todas las criaturas de la tienda.	25% de desconto em todas as criaturas na loja	25% de desconto em todas as criaturas na loja.	25 % de réduction sur toutes les créatures de la boutique	25% Rabatt auf alle Monster im Shop	ストアの生き物はすべて25％割引	상점 내 모든 피조물 25% 할인	店中所有生物打折25%。	商店中所有生物打 75 折。	Mağazadaki tüm yaratıklarda %25 indirim.	ลดราคา 25% สำหรับสิ่งมีชีวิตทั้งหมดในร้านค้า	25% di sconto su tutte le creature del negozio.	Diskon 25% untuk semua makhluk di toko.
booster_bubble_time_title	Всплеск рождаемости	Monster boom	Explosión de monstruo	Explosión de monstruo	Explosão de monstros	Explosão de monstros	Explosion de montre	Monster Boom	モンスターブーム	몬스터 붐	怪物潮	怪物熱潮	Canavar patlaması	สัตว์ประหลาดกำลังเป็นที่นิยม	Boom gigante	Ledakan monster
booster_bubble_time_desc	Время появления яйца сокращается в 2 раза.	New egg time reduced by half	Reduce a la mitad el plazo para que aparezca un nuevo huevo.	Tiempo de huevo nuevo reducido a la mitad	Tempo de saída do novo ovo reduzido pela metade	Tempo de ovo novo reduzido pela metade	Durée avant l'arrivée du nouvel œuf réduite de moitié	Reduziert die Erscheinungszeit für Eier um die Hälfte	新しいたまごタイムが半分になりました	달걀 부화 시간을 반으로 단축	新卵时间减半！	新蛋的孵化時間減半	Yarıya indirilmiş yeni yumurta süresi	เวลาของไข่ใบใหม่ลดลงครึ่งหนึ่ง	Tempo del nuovo uovo dimezzato	Waktu telur baru berkurang setengah
hard_pack_1_title	Мешочек кристаллов	Sack of crystals	Saco de cristales	Saco de cristales	Saco de cristais	Saco de cristais	Sac de crystaux	Beutel voller Kristalle	クリスタルの巾着	크리스탈 자루	成麻袋的水晶	一麻袋水晶	Kristal çuvalı	กระสอบคริสตัล	Sacco di cristalli	Karung kristal
hard_pack_2_title	Сумка кристаллов	Bag of crystal	Bolsa de cristales	Bolsa de cristales	Bolsa de cristais	Bolsa de cristais	Poche de crystaux	Tasche voller Kristalle	クリスタルの袋	크리스탈 뭉치	成袋的水晶	一袋水晶	Kristal torbası	กระเป๋าคริสตัล	Sacchetto di cristalli	Tas kristal
hard_pack_3_title	Сундук кристаллов	Chest of crystals	Cofre de cristales	Cofre de cristales	Baú de cristais	Baú de cristais	Coffre de crystaux	Truhe voller Kristalle	クリスタルのチェスト	크리스탈 상자	水晶宝箱	一箱水晶	Kristal sandığı	หีบคริสตัล	Baule di cristalli	Peti kristal
soft_pack_1_title	Горстка золота	Load of gold	Montón de oro	Montón de oro	Carga de ouro	Carga de ouro	Charge d'or	Goldhaufen	山盛りのゴールド	소량의 골드	大量黄金	一筆黃金	Altın yükü	ทองคำจำนวนมาก	Carico di monete	Segunung emas
soft_pack_2_title	Мешочек золота	Pocket of gold	Bolsillo de oro	Bolsillo de oro	Pochete de ouro	Bolso de ouro	Pochette d'or	Kleine Tasche mit Gold	ポケットサイズのゴールド	골드 뭉치	成口袋的黄金	一小袋黃金	Altın cebi	ซองทองคำ	Tasca di monete	Kantung emas
soft_pack_3_title	Сумка золота	Bag of gold	Bolsa de oro	Bolsa de oro	Bolsa de ouro	Bolsa de ouro	Poche d'or	Tasche mit Gold	ゴールドの袋	대량의 골드	成袋的黄金	一袋黃金	Altın torbası	กระเป๋าทองคำ	Sacchetto di monete	Tas emas
no_ads_title	Без рекламы	No ads	Sin anuncios	Sin anuncios	Sem anúncios	Sem anúncios	Aucune pub	Keine Werbung	広告なし	광고 제거	无广告	無廣告	Reklamsız	ไม่มีโฆษณา	Niente pubblicità	Tanpa iklan
no_ads_description	Отключить рекламу	Turn off ads	Desactivar anuncios	Desactivar anuncios	Desativar anúncios	Desativar anúncios	Désactiver les pubs	Werbung deaktivieren	広告をオフにする	게임 내 광고 비활성화	关闭广告	關閉廣告	Reklamları kapat	ปิดโฆษณา	Elimina la pubblicità	Nonaktifkan iklan
you_are_here	Ты здесь	You are here	Estas aquí	Estas aquí	Você está aqui	Está aqui	Vous êtes ici	Du bist hier	現在地	여기에 있습니다	你在此处	你在此處	Buradasın	คุณอยู่ที่นี่	Sei qui	Kamu di sini
missions	Миссии	Missions	Misiones	Misiones	Missões	Missões	Missions	Missionen	ミッション	퀘스트	使命	任務	Görevler	ภารกิจ	Missioni	Misi
no_missions	У вас нет активный миссий	You have no active missions	No tienes misiones activas.	No tienes misiones activas.	Você não tem missões ativas	Não tem missões ativas	Vous n'avez aucune mission active	Du hast keine aktiven Missionen	有効なミッションはありません	활성 퀘스트가 없습니다	你没有激活的使命	你沒有已啟用的任務	Aktif görevin yok	คุณไม่มีภารกิจที่ยังดำเนินอยู่	Non hai missioni attive	Tidak ada misi aktif
choose	Выбрать миссию	Select mission	Seleccionar misión	Seleccionar misión	Selecionar missão	Selecionar missão	Sélectionner une mission	Mission auswählen	ミッションを選ぶ	퀘스트 선택	选择使命	選擇任務	Görev seç	เลือกภารกิจ	Seleziona la missione	Pilih misi
general_mission	Обычная миссия	Regular mission	Misión normal	Misión normal	Missão normal	Missão normal	Mission classique	Einfache Mission	レギュラーミッション	정규 퀘스트	普通使命	常規任務	Normal görev	ภารกิจปกติ	Missione normale	Misi biasa
rare_mission	Редкая миссия	Rare mission	Misión rara	Misión rara	Missão rara	Missão rara	Mission rare	Seltene Missionen	レアミッション	희귀 퀘스트	稀有使命	稀有任務	Nadir görev	ภารกิจแบบหาได้ยาก	Missione rara	Misi langka
epic_mission	Эпичная миссия	Epic mission	Misión épica	Misión épica	Missão épica	Missão épica	Mission épique	Epische Missionen	驚異のミッション	대규모 퀘스트	史诗级使命	史詩任務	Epik görev	ภารกิจมหึมา	Missione epica	Misi epik
start	Начать	Start	Empezar	Inicio	Iniciar	Iniciar	Démarrer	Anfangen	開始	시작	启动	開始	Başla	เริ่มต้น	Inizia	Mulai
your_missions_simple	Твои миссии	Your missions	Tus misiones	Tus misiones	Suas missões	As suas missões	Vos missions	Deine Missionen	ミッション	QEUST	你的使命	你的任務	Görevlerin	ภารกิจของคุณ	Le tue missioni	Misimu
new_epoch	Началась новая эра!	A new era has begun!	¡Ha comenzado una nueva era!	¡Ha comenzado una nueva era!	Começa uma nova era!	Começou uma nova era!	Une nouvelle ère a débuté !	Eine neue Epoche hat begonnen!	新しい時代が始まる！	새로운 시대가 시작됩니다!	一个新时代已经开始！	新時代開始了！	Yeni bir çağ başladı!	ยุคใหม่ได้เริ่มขึ้นแล้ว!	È iniziata una nuova era!	Era baru telah dimulai!
new_monster_title	Открыто новое существо!	New creature unlocked!	¡Nueva criatura desbloqueada!	¡Nueva criatura desbloqueada!	Nova criatura desbloqueada!	Nova criatura desbloqueada!	Nouvelle créature débloquée	Ein neues Monster wurde freigeschaltet!	新しい生き物がアンロックされました	새로운 피조물이 해지되었습니다!	新生物已解锁！	解鎖新生物！	Yeni yaratığın kilidi açıldı!	สิ่งมีชีวิตใหม่ถูกปลดล็อก!	Nuova creatura sbloccata!	Makhluk baru berhasil dibuka!
sound	Звуки	Sounds	Sonidos	Sonidos	Efeitos sonoros	Efeitos sonoros	Sons	Geräusche	サウンド	효과음	声音	音效	Sesler	เสียง	Suoni	Suara
music	Музыка	Music	Música	Música	Música	Música	Musique	Musik	音楽	BGM	音乐	音樂	Müzik	เพลง	Musica	Musik
mission_rewards	Награда:	Reward:	Recompensa:	Recompensa:	Recompensa:	Recompensa:	Récompense :	Belohnung:	報酬：	보상:	奖励：	獎勵：	Ödül:	รางวัล:	Ricompensa:	Hadiah:
creature1	Ящерица	Lizard	Lagarto	Lagartija	Lagarto	Lagarto	Lézard	Eidechse	トカゲ	도마뱀	蜥蜴	蜥蜴	Kertenkele	กิ้งก่า	Lucertola	Kadal
creature2	Динозаврик	Dinosaur	Dinosaurio	Dinosaurio	Dinossauro	Dinossauro	Dinosaure	Dinosaurier	恐竜	공룡	恐龙	恐龍	Dinozor	ไดโนเสาร์	Dinosauro	Dinosaurus
creature3	Страус	Ostrich	Avestruz	Avestruz	Avestruz	Avestruz	Autruche	Strauß	ダチョウ	타조	鸵鸟	鴕鳥	Devekuşu	นกกระจอกเทศ	Struzzo	Burung unta
creature4	Белка	Squirrel	Ardilla	Ardilla	Esquilo	Esquilo	Écureuil	Eichhörnchen	リス	다람쥐	松鼠	松鼠	Sincap	กระรอก	Scoiattolo	Tupai
creature5	Индри	Indri	Indri	Indri	Indri	Indri	Indri	Indri	インドリ	여우원숭이	大狐猴	狐猴	İndri	อินดรี	Lemure	Indri
creature6	Обезьяна	Monkey	Mono	Mono	Macaco	Macaco	Singe	Affe	モンキー	원숭이	猴子	猴子	Maymun	ลิง	Scimmia	Monyet
creature7	Первый человек	First Man	Adán	Primer hombre	Primeiro humano	Primeiro Homem	Premier homme	Urmensch	類人猿	아담	祖人	原人	İlk İnsan	มนุษย์คนแรก	Primo uomo	Manusia Pertama
creature8	Искушенный	Tempted	Eva	Tentado	Instigado	Tentado	Tenté	Versucherin	誘惑	이브	被诱者	夏娃	Cazip	ที่น่าเย้ายวน	Tentato	Tergoda
creature9	Дикарь	Savage	Troglodita	Salvaje	Selvagem	Selvagem	Sauvage	Barbar	狂暴	야만인	野人	蠻人	Vahşi	ป่าเถื่อน	Selvaggio	Buas
creature10	Пастух	Shepherd	Pastor	Pastor	Pastorador	Pastor	Berger	Hirte	シェパード	양치기	牧羊人	牧羊者	Çoban	คนเลี้ยงแกะ	Pastore	Gembala
creature11	Горожанин	Townsman	Ciudadano	Citadino	Morador	Munícipe	Citadin	Stadtbewohner	タウンズマン	마을 사람	城里人	村民	Kasabalı	คนเมือง	Cittadino	Penduduk kota
creature12	Вельможа	Magnate	Magnate	Magnate	Magnata	Magnata	Magnat	Magnat	マグネート	거물	富豪	員外	Kodaman	ขุนนาง	Magnate	Tokoh
creature13	Мечтательный поэт	Dreamy Poet	Poeta Soñador	Poeta soñador	Poeta Sonhador	Poeta Sonhador	Poète rêveur	Verträumter Dichter	夢見る詩人	꿈꾸는 시인	梦幻诗人	夢幻詩人	Hayalci Şair	นักกวีช่างฝัน	Poeta sognante	Penyair Pemimpi
creature14	Упорхнувшая балерина	Fluttering Ballerina	Bailarina Revoloteadora	Bailarina revoloteando	Bailarina Esvoaçante	Bailarina Lisonjeadora	Ballerine trébuchante	Flatterhafte Ballerina	かわいいバレリーナ	춤추는 발레리나	翩翩起舞的芭蕾舞演员	優美芭蕾舞者	Çırpınan Balerin	นักเต้นบัลเลต์ผู้พลิ้วไหว	Ballerine svolazzanti	Balerina Gemulai
creature15	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman	Sportsman
creature16	Улыбчивый клоун	Smiling Сlown	Payaso Sonriente	Payaso sonriente	Palhaço Sorridente	Palhaço Sorridente	Clown souriant	Lächelnder Clown	笑うピエロ	웃는 광대	微笑的小丑	微笑小丑	Gülümseyen Palyaço	ตัวตลกหน้ายิ้ม	Clown sorridente	Badut Ramah
creature17	Пьяный рокер	Drunk Rocker	Roquero Borracho	Rockero borracho	Roqueiro Bêbado	Rocker Bêbedo	Rocker ivre	Betrunkener Rocker	ほろ酔いロッカー	술취한 가수	喝醉的摇滚歌手	醉漢搖滾樂手	Sarhoş Rokçu	ร็อกเกอร์ขี้เมา	Rocker ubriaco	Rocker Mabuk
creature18	Галлюцинирующий тусовщик	Hallucinating Dancer	Fiestero Colocado	Bailarín alucinante	Dançarino Alucinado	Dançarino Alucinante	Danseur déjanté	Halluzinierender Tänzer	幻覚ダンサー	환각에 빠진 댄서	迷幻舞者	幻覺舞者	Halüsinasyonlar Gören Dansçı	นักเต้นประสาทหลอน	Danzatrice allucinata	Penari Halusinasi
creature19	Садовод	Gardener	Jardinero	Horticultora	Jardineiro	Jardineiro	Jardinier	Gärtnerin	ガーデナー	정원사	园丁	園丁	Bahçıvan	คนทำสวน	Giardiniere	Tukang Kebun
creature20	Шеф-повар	Chef	Chef	Chef	Chef	Chef	Chef cuisinier	Küchenchef	シェフ	주방장	厨师	廚師	Şef	เชฟ	Chef	Koki
creature21	Гурман-путешественник	Gourmet Traveler	Gastronómada	Viajero gourmet	Viajante Gourmet	Viajante Gourmet	Voyageur gourmet	Gourmetreisender	グルメトラベラー	미식가	美食旅行家	美食遊客	Gurme Seyyah	นักเดินทางผู้หลงไหลการกิน	Viaggiatore buongustaio	Petualang Kuliner
creature22	Пузатый обыватель	Paunchy Pig	Glotón Barrigudo	Cerdo barrigón	Porco Barrigudo	Porco Barrigudo	Homme bedonnant	Dickwanst	ぷりぷりピッグ	배불뚝이 돼지	大肚汉	大胃胖子	Göbekli Domuz	หมูพุงพลุ้ย	Ciccione molliccio	Babi Gendut
creature23	Быстрый обжора	Fastfood Glutton	Amante de la Comida Rápida	Glotón de comida rápida	Glutão de Fastfood	Glutão de Fastfood	Bâfreur de hamburger	Imbiss-Vielfraß	ファーストフードグラットン	패스트 푸드 대식가	快餐饕餮	速食饕客	Fast Food Oburu	จอมตะกละฟาสต์ฟู้ด	Goloso di fast-food	Glutton Makanan Cepat Saji
creature24	Продавец овощей	Vegetable Salesman	Vendedor de Verduras	Vendedor de verduras	Vendedor de Verduras	Vendedor de Legumes	Vendeur de légumes	Gemüseverkäufer	野菜セールスマン	야채 영업사원	卖菜人	植物銷售原	Manav	คนขายผัก	Fruttivendolo	Penjual Sayur
creature25	Радиолюбитель	Radio Fan	Aficionado a la Radio	Fanático de la radio	Fã do Rádio	Fã da Rádio	Fan de radio	Funkamateur	ラジオファン	라디오 팬	广播迷	無線電粉絲	Radyo Heveslisi	แฟนวิทยุ	Radioamatore	Penggemar Radio
creature26	Меломан	Chill Guy	Melómano	Chico chillón	Cara Descolado	Tipo Descontraído	Mélomane	Musikliebhaber	チリガイ	흥에 취한 남자	酷哥	悠閒傢伙	Ürpertici Eleman	ชายใจเย็น	Tipo tranquillo	Pria Keren
creature27	Кино-влюбительница	Cinema Lover	Cinéfilo	Amante del cine	Amante do Cinema	Amante de Cinema	Cinéphile	Filmliebhaber	映画ラバー	영화 팬	影迷	影迷	Sinemasever	คนรักภาพยนต์	Amante del cinema	Pencinta Bioskop
creature28	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer
creature29	Вегетативный зритель	Vegetative Viewer	Teleadicto	Espectador vegetal	Mórbido	Espetador Vegetativo	Spectateur passif	Vegetativer Zuschauer	不動のビューアー	멍한 시청자	素食观众	植物人觀賞者	Sebze Seyircisi	นักส่องพืช	Spettatore passivo	Penampil Vegetatif
creature30	ТВ Зомби	TV Zombie	Telezombi	Zombie de la TV	Zumbi de TV	Zombie da TV	Zombie de la télé	TV-Zombie	テレビゾンビ	TV 좀비	电视僵尸	電視僵屍	TV Zombisi	ซอมบี้ทีวี	Zombie della TV	Zombi TV
creature31	Геймер	Gamer	Gamer	Gamer	Gamer	Gamer	Joueur	Spieler	ゲーマー	게이머	游戏玩家	遊戲玩家	Oyuncu	นักเล่นเกม	Gamer	Gamer
creature32	Бизнесмен	Businessman	Hombre de Negocios	Hombre de negocios	Homem de Negócios	Homem de negócios	Homme d'affaires	Geschäftsmann	ビジネスマン	사업가	商人	商人	İş Adamı	นักธุรกิจ	Uomo d'affari	Pebisnis
creature33	Социальщик	Social Boy	Chico Social	Chico de redes sociales	Garoto Sociável	Rapaz Social	Assistante sociale	Sozialarbeiter	社交ボーイ	SNS 중독자	交际男孩	低頭族	Sosyal Oğlan	เด็กชายที่ชื่นชอบเข้าสังคม	Ragazzo social	Bocah Sosial
creature34	Селфи няша	Selfie Cutie	Bombón de Selfi	Bombón selfie	Fofura do Selfie	Fofura das Selfies	Fan de selfie	Selfie Maus	自撮りキュート	셀카 미녀	自拍小可爱	字拍小可愛	Selfi Sevimlisi	สาวน่ารักจอมเซลฟี่	Succube dei selfie	Selfie Imut
creature35	Охотник за весельем	Fun Hunter	Amante de la Diversión	Cazador de diversión	Caçador de Diversão	Caçador Divertido	Chasseur amateur	Freizeitjäger	ファン狩人	재미 중독자	寻欢作乐者	趣味獵人	Eğlence Avcısı	นักล่าความสนุก	Cacciatore spassoso	Pemburu Riang
creature36	Погруженный	Locked	Sumergido	Bloqueado	Bloqueado	Bloqueado	Entravé	Einsiedler	閉じこもり	갇힌 사람	被困者	封鎖	Kilitli	ถูกล็อก	Bloccato	Terkunci
creature37	Алхимик	Alchemist	Alquimista	Alquimista	Alquimista	Alquimista	Alchimiste	Alchemistin	アルケミスト	연금술사	炼金术师	練金術師	Simyacı	นักเล่นแร่แปรธาตุ	Alchimista	Alkemis
creature38	Физик-ядерщик	Nuclear Physicist	Físico Nuclear	Físico nuclear	Físico Nuclear	Físico Nuclear	Physicien nucléaire	Kernphysiker	核物理学者	핵 물리학자	核物理学家	核物理學家	Nükleer Fizikçi	นักนิวเคลียร์ฟิสิกส์	Fisico nucleare	Ilmuwan Nuklir
creature39	Создатель жизни	Life Creator	Creador de Vida	Creador de vida	Criador da Vida	Criador de Vida	Créateur de vie	Schöpfer des Lebens	人生の創造者	생명 창조자	生命创造者	生命創造者	Hayat Yaratıcısı	ผู้สร้างชีวิต	Creatore di vita	Pencipta Kehidupan
creature40	Укротитель атома	Atom Tamer	Domador de Átomos	Domador del átomo	Domador de Átomos	Domador de Átomos	Dompteur d'atomes	Atom-Bändiger	分子使い	원자력 조종자	原子驯服师	核能掌控者	Atom Terbiyecisi	ผู้ฝึกอะตอม	Domatore degli atomi	Penjinak Atom
creature41	Оружейный барон	Arms Dealer	Traficante de Armas	Comerciante de armas	Traficante de Armas	Traficante de Armas	Marchand d'armes	Waffen-Baron	武器商人	무기 거래상	军火商	軍火商	Kol Bayisi	นักค้าอาวุธ	Trafficante d'armi	Pedagang Senjata
creature42	Био-мутант	Bio-mutant	Biomutante	Biomutante	Bio-Mutante	Mutante biológico	Bio-mutant	Bio-Mutant	バイオミュータント	생물학 돌연변이	生物变种	生化變異人	Biyomutant	มนุษย์กลายพันธุ์ทางชีวภาพ	Bio-mutante	Mutan bio
creature43	Спортсмен	Fit Guy	Cachas	Tipo en forma	Cara Bombado	Tipo em Forma	Athlète	Athlet	スポーツマン	건강한 남자	健身者	健身老兄	Fit Eleman	ชายจอมฟิต	Tipo atletico	Pria Bugar
creature44	Фитнесс тренер	Fitness Trainer	Entrenador Personal	Entrenadora física	Treinador de Fitness	Treinador de Fitness	Entraîneur de fitness	Fitnesstrainerin	ジムトレーナー	피트니스 트레이너	健身教练	健身教練	Fitnes Hocası	เทรนเนอร์ฟิตเนส	Allenatore di fitness	Pelatih Kebugaran
creature45	Бодибилдер	Bodybuilder	Culturista	Fisiculturista	Fisiculturista	Culturista	Culturiste	Bodybuilder	ボディビルダー	바디빌더	健美运动员	健美先生	Vücut Geliştirici	นักเพาะกาย	Body-builder	Binaragawan
creature46	Завернутая Йога	Wrapped Yoga	Yogui Enrevesado	Yoga enredado	Amante de Yoga	Ioga Enrolado	Yogi enveloppé	Verknoteter Yogaguru	ヨガマスター	요가에 심취한 사람	瑜伽达人	柔軟瑜珈老師	Sarılmış Yoga	โยคะแบบห่อ	Appassionato di yoga	Yoga Terbungkus
creature47	Ловкий кроссфитчик	Cool Crossfiter	Crossfitter Enrollado	Crossfiter chévere	Amante de Crossfit	Crossfitter Fixe	Compétiteur cool	Cooler CrossFit Turner	クールなクロスフィッター	근사한 크로스핏 운동가	交叉健身酷男	超酷健身迷	Havalı Crossfitçi	นักเล่นครอสฟิตสุดเจ๋ง	Crossfiter figo	Crossfiter Keren
